Ticker
AAPL
MSFT
NVDA
GOOG
AMZN
META
BRK-B
LLY
TSLA
JPM
ABBV
MCD
CVS
TGT
TSN
OXY
PSX
SLB
NFLX
GE
PG
IBM
HON
ABNB
ETSY
EBAY
INTC
LMT
UBER
CRM
