Ticker
AAPL
MSFT
NVDA
GOOG
GOOGL
AMZN
META
BRK-B
LLY
AVGO
TSLA
WMT
JPM
V
UNH
XOM
ORCL
MA
PG
JNJ
COST
HD
ABBV
KO
BAC
NFLX
MRK
CVX
AMD
CRM
PEP
TMUS
TMO
ADBE
LIN
ACN
MCD
ABT
CSCO
IBM
DHR
GE
PM
BX
AXP
QCOM
VZ
WFC
TXN
NOW
INTU
AMGN
NEE
ISRG
CAT
PFE
DIS
SPGI
MS
RTX
T
AMAT
UNP
GS
UBER
CMCSA
PGR
LOW
SYK
BKNG
LMT
BLK
TJX
HON
REGN
ELV
COP
VRTX
ETN
BSX
NKE
PLD
KKR
CB
SCHW
ADP
MDT
ANET
C
MMC
UPS
ADI
AMT
PANW
SBUX
DE
GILD
HCA
FI
BMY
MDLZ
CI
LRCX
KLAC
MU
SO
BA
SHW
ICE
INTC
DUK
ZTS
MCO
MO
CL
TT
GD
CTAS
EQIX
WM
CMG
CME
PH
WELL
ABNB
TDG
SNPS
APH
NOC
AON
ITW
CDNS
MMM
PYPL
MSI
FDX
CVS
PNC
ECL
CARR
EOG
TGT
USB
BDX
MCK
MAR
CSX
CRWD
ORLY
GEV
AJG
APD
DHI
RSG
CEG
PSA
FCX
SPG
AFL
NEM
EMR
NXPI
ROP
SLB
FTNT
ADSK
TFC
NSC
WMB
AEP
COF
OKE
TRV
MPC
MET
O
HLT
PSX
GM
FANG
SRE
DLR
AZO
BK
CCI
PCG
LEN
PCAR
URI
KDP
ALL
MNST
ROST
GWW
D
CPRT
JCI
PAYX
CHTR
KMI
KMB
OXY
AIG
FIS
FICO
STZ
COR
TEL
KVUE
AMP
IQV
MSCI
LHX
VLO
RCL
F
ACGL
PRU
KHC
MPWR
PEG
IDXX
NDAQ
ODFL
GIS
CMI
MCHP
EW
FAST
PWR
HSY
HES
EXC
KR
A
CNC
GEHC
CTVA
EXR
IT
AME
HWM
OTIS
SYY
VRSK
IR
CTSH
EA
HUM
YUM
GLW
RMD
EFX
CBRE
ED
DOW
XEL
VICI
BKR
DD
DFS
HIG
IRM
NUE
TRGP
EIX
HPQ
GRMN
LULU
AVB
MLM
VMC
XYL
EBAY
EL
VST
CSGP
LYB
ON
WAB
LVS
WEC
EQR
DAL
ROK
TSCO
CDW
WTW
PPG
BRO
MTD
AWK
NVR
PHM
MTB
AXON
ADM
BIIB
FITB
GPN
K
ANSS
MRNA
DXCM
ETR
CAH
VLTO
TTWO
IFF
VTR
SBAC
FTV
KEYS
DTE
DOV
STT
HAL
SMCI
FSLR
HST
CHD
DVN
FE
ROL
RJF
TYL
BR
SW
ES
NTAP
WY
TROW
PPL
LYV
STE
DECK
HPE
CCL
MKC
AEE
WDC
BLDR
CBOE
BF-B
WRB
INVH
HUBB
TSN
COO
GDDY
ARE
ZBH
STX
WST
ATO
BBY
CPAY
CINF
TER
HBAN
PTC
CMS
LDOS
ESS
WBD
MOH
RF
BALL
CLX
BAX
TDY
OMC
EQT
MAA
WAT
SYF
PFG
PKG
DRI
GPC
LH
HOLX
DG
ALGN
ULTA
CNP
ZBRA
NTRS
CFG
EXPE
J
FOXA
FOX
VRSN
HRL
MAS
AVY
STLD
EXPD
UDR
L
UAL
DGX
IP
JBHT
FDS
LUV
CTRA
NRG
EG
TXT
PODD
APTV
GEN
ENPH
KIM
AMCR
SWK
DLTR
CAG
PNR
UHS
IEX
LNT
SWKS
CPB
KEY
DOC
NI
MRO
NWS
NWSA
RVTY
AKAM
SNA
CF
NDSN
DPZ
TRMB
BXP
EVRG
POOL
VTRS
BG
DVA
CE
AES
REG
CPT
JNPR
JKHY
INCY
SJM
FFIV
SOLV
ALLE
KMX
EMN
JBL
AOS
TECH
CHRW
IPG
TAP
RL
EPAM
TFX
MGM
CTLT
LKQ
CRL
BEN
ALB
HII
PNW
AIZ
TPR
HAS
MHK
MKTX
FRT
PAYC
GL
QRVO
LW
APA
DAY
BIO
MTCH
HSIC
WYNN
CZR
NCLH
GNRC
MOS
FMC
WBA
BWA
IVZ
PARA
AAL
BBWI
ETSY
